,y_lo,y_hi,h_lo,h_hi,result
276,13.3,13.4,26.0,27.0,unsafe
277,13.3,13.4,27.0,28.0,unsafe
278,13.3,13.4,28.0,29.0,unsafe
279,13.3,13.4,29.0,30.0,unsafe
280,13.4,13.5,10.0,11.0,unsafe
281,13.4,13.5,11.0,12.0,unsafe
282,13.4,13.5,12.0,13.0,unsafe
283,13.4,13.5,13.0,14.0,unsafe
284,13.4,13.5,14.0,15.0,unsafe
285,13.4,13.5,15.0,16.0,unsafe
286,13.4,13.5,16.0,17.0,unsafe
287,13.4,13.5,17.0,18.0,unsafe
288,13.4,13.5,18.0,19.0,unsafe
289,13.4,13.5,19.0,20.0,unsafe
290,13.4,13.5,20.0,21.0,unsafe
291,13.4,13.5,21.0,22.0,unsafe
292,13.4,13.5,22.0,23.0,unsafe
293,13.4,13.5,23.0,24.0,unsafe
294,13.4,13.5,24.0,25.0,unsafe
295,13.4,13.5,25.0,26.0,unsafe
296,13.4,13.5,26.0,27.0,unsafe
297,13.4,13.5,27.0,28.0,unsafe
298,13.4,13.5,28.0,29.0,unsafe
299,13.4,13.5,29.0,30.0,unsafe
300,13.5,13.6,10.0,11.0,unsafe
301,13.5,13.6,11.0,12.0,unsafe
302,13.5,13.6,12.0,13.0,unsafe
303,13.5,13.6,13.0,14.0,unsafe
304,13.5,13.6,14.0,15.0,unsafe
305,13.5,13.6,15.0,16.0,unsafe
306,13.5,13.6,16.0,17.0,unsafe
307,13.5,13.6,17.0,18.0,unsafe
308,13.5,13.6,18.0,19.0,unsafe
309,13.5,13.6,19.0,20.0,unsafe
310,13.5,13.6,20.0,21.0,unsafe
311,13.5,13.6,21.0,22.0,unsafe
312,13.5,13.6,22.0,23.0,unsafe
313,13.5,13.6,23.0,24.0,unsafe
314,13.5,13.6,24.0,25.0,unsafe
315,13.5,13.6,25.0,26.0,unsafe
316,13.5,13.6,26.0,27.0,unsafe
317,13.5,13.6,27.0,28.0,unsafe
318,13.5,13.6,28.0,29.0,unsafe
319,13.5,13.6,29.0,30.0,unsafe
320,13.6,13.7,10.0,11.0,unsafe
321,13.6,13.7,11.0,12.0,unsafe
322,13.6,13.7,12.0,13.0,unsafe
323,13.6,13.7,13.0,14.0,unsafe
324,13.6,13.7,14.0,15.0,unsafe
325,13.6,13.7,15.0,16.0,unsafe
326,13.6,13.7,16.0,17.0,unsafe
327,13.6,13.7,17.0,18.0,unsafe
328,13.6,13.7,18.0,19.0,unsafe
329,13.6,13.7,19.0,20.0,unsafe
330,13.6,13.7,20.0,21.0,unsafe
331,13.6,13.7,21.0,22.0,unsafe
332,13.6,13.7,22.0,23.0,unsafe
333,13.6,13.7,23.0,24.0,unsafe
334,13.6,13.7,24.0,25.0,unsafe
335,13.6,13.7,25.0,26.0,unsafe
336,13.6,13.7,26.0,27.0,unsafe
337,13.6,13.7,27.0,28.0,unsafe
338,13.6,13.7,28.0,29.0,unsafe
339,13.6,13.7,29.0,30.0,unsafe
340,13.7,13.8,10.0,11.0,unsafe
341,13.7,13.8,11.0,12.0,unsafe
342,13.7,13.8,12.0,13.0,unsafe
343,13.7,13.8,13.0,14.0,unsafe
344,13.7,13.8,14.0,15.0,unsafe
345,13.7,13.8,15.0,16.0,unsafe
346,13.7,13.8,16.0,17.0,unsafe
347,13.7,13.8,17.0,18.0,unsafe
348,13.7,13.8,18.0,19.0,unsafe
349,13.7,13.8,19.0,20.0,unsafe
350,13.7,13.8,20.0,21.0,unsafe
351,13.7,13.8,21.0,22.0,unsafe
352,13.7,13.8,22.0,23.0,unsafe
353,13.7,13.8,23.0,24.0,unsafe
354,13.7,13.8,24.0,25.0,unsafe
355,13.7,13.8,25.0,26.0,unsafe
356,13.7,13.8,26.0,27.0,unsafe
357,13.7,13.8,27.0,28.0,unsafe
358,13.7,13.8,28.0,29.0,unsafe
359,13.7,13.8,29.0,30.0,unsafe
360,13.8,13.9,10.0,11.0,unsafe
361,13.8,13.9,11.0,12.0,unsafe
362,13.8,13.9,12.0,13.0,unsafe
363,13.8,13.9,13.0,14.0,unsafe
364,13.8,13.9,14.0,15.0,unsafe
365,13.8,13.9,15.0,16.0,unsafe
366,13.8,13.9,16.0,17.0,unsafe
367,13.8,13.9,17.0,18.0,unsafe
368,13.8,13.9,18.0,19.0,unsafe
369,13.8,13.9,19.0,20.0,unsafe
370,13.8,13.9,20.0,21.0,unsafe
371,13.8,13.9,21.0,22.0,unsafe
372,13.8,13.9,22.0,23.0,unsafe
373,13.8,13.9,23.0,24.0,unsafe
374,13.8,13.9,24.0,25.0,unsafe
375,13.8,13.9,25.0,26.0,unsafe
376,13.8,13.9,26.0,27.0,unsafe
377,13.8,13.9,27.0,28.0,unsafe
378,13.8,13.9,28.0,29.0,unsafe
379,13.8,13.9,29.0,30.0,unsafe
380,13.9,14.0,10.0,11.0,unsafe
381,13.9,14.0,11.0,12.0,unsafe
382,13.9,14.0,12.0,13.0,unsafe
383,13.9,14.0,13.0,14.0,unsafe
384,13.9,14.0,14.0,15.0,unsafe
385,13.9,14.0,15.0,16.0,unsafe
386,13.9,14.0,16.0,17.0,unsafe
387,13.9,14.0,17.0,18.0,unsafe
